College,"{'zero': 1346, 'one': 1484}"
INCOME,67422.68586572439
OVERAGE,50.07385159010601
LEFTOVER,16.14487632508834
HOUSE,495794.18091872794
Handset Price,313.1321554770318
Overage15mins,3.952296819787986
Average,6.662190812720848
satisfaction,"{'unsat': 604, 'very_sat': 832, 'very_unsat': 1317, 'sat': 77}"
usage level,"{'0': 1, '230': 1, '78': 1, '49': 1, '45': 1, '72': 1, '68': 1, '181': 1, '56': 1, '57': 1, '65': 1, '158': 1, '197': 1, '67': 1, '55': 1, '174': 1, '69': 1, '70': 1, '73': 1, '89': 1, '194': 1, '51': 1, '50': 1, '42': 1, '66': 1, '38': 1, '37': 1, '214': 1, '71': 1, '196': 1, '161': 1, '82': 1, '130': 1, '160': 1, '179': 1, '63': 1, '39': 1, '43': 1, '90': 1, '76': 1, '41': 1, '151': 1, '52': 1, '84': 1, '58': 1, '64': 1, '203': 1, '217': 1, '74': 1, '148': 1, '29': 1, '48': 1, '198': 1, '184': 1, '182': 1, '46': 1, '165': 1, '17': 1, '53': 1, '40': 1, '86': 1, '232': 1, '188': 1, '44': 1, '77': 1, '81': 1, '62': 1, '33': 1, '31': 1, '120': 1, '208': 1, '96': 1, '54': 1, '47': 1, '13': 1, '164': 1, '154': 1, '27': 1, '35': 1, '36': 1, '172': 1, '98': 1, '149': 1, '225': 1, '169': 1, '79': 1, '61': 1, '75': 1, '118': 1, '284': 1, '141': 1, '186': 1, '166': 1, '32': 1, '80': 1, '60': 1, '18': 1, '200': 1, '191': 1, '246': 1, '159': 1, '157': 1, '206': 1, '204': 1, '87': 1, '201': 1, '252': 1, '170': 1, '218': 1, '177': 1, '106': 1, '213': 1, '202': 1, '227': 1, '162': 1, '19': 1, '205': 1, '176': 1, '59': 1, '257': 1, '85': 1, '16': 1, '153': 1, '34': 1, '99': 1, '212': 1, '215': 1, '183': 1, '178': 1, '152': 1, '189': 1, '209': 1, '15': 1, '260': 1, '199': 1, '30': 1, '238': 1, '173': 1, '220': 1, '108': 1, '239': 1, '167': 1, '187': 1, '195': 1, '83': 1, '94': 1, '254': 1, '110': 1, '219': 1, '235': 1, '180': 1, '139': 1, '163': 1, '226': 1, '210': 1, '127': 1, '91': 1, '25': 1, '251': 1, '192': 1, '102': 1, '256': 1, '93': 1, '88': 1, '211': 1, '185': 1, '104': 1, '231': 1, '221': 1, '233': 1, '193': 1, '144': 1, '155': 1, '168': 1, '171': 1, '207': 1, '190': 1, '95': 1, '243': 1, '26': 1, '92': 1, '249': 1, '150': 1, '229': 1, '119': 1, '101': 1, '224': 1, '175': 1, '216': 1, '138': 1, '145': 1, '137': 1, '242': 1, '133': 1, '132': 1, '14': 1, '97': 1, '21': 1, '146': 1, '247': 1, '142': 1, '240': 1, '143': 1, '131': 1, '28': 1}"
considering,"{'no': 1781, 'perhaps': 754, 'never_thought': 295}"
leave,"{'STAY': 1673, 'LEAVE': 1157}"
Median for House Value:,458873
Median for Income,61268
